plot,tree.no.,DBH1979,Cnpy1979,rem1979,DBH1983,Cnpy1983,rem1983,DBH1989,Cnpy1989,rem1989,DBH1994,Cnpy1994,rem1994,DBH1999,Cnpy1999,rem1999,DBH2009,Cnpy2009,rem2009,species
B0,222,22.606,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,JUCI
B0,28,33.274,2,1,34.036,2,0,34.29,2,1,0,0,9,0,0,0,0,0,0,CACO
A0,33,24.638,2,0,25.4,3,0,25.908,3,0,26.162,3,0,26.162,3,2,0,0,9,CACO
A-3,163,3.302,4,18,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,CACO
B-3,25,24.892,3,1,26.162,3,0,26.924,3,1,0,0,9,0,0,0,0,0,0,CACO
A-5,128,8.636,4,0,8.89,4,8,0,0,9,0,0,0,0,0,0,0,0,0,CACO
B-3,43,20.066,4,8,20.32,4,0,20.574,4,1,0,0,9,0,0,0,0,0,0,CACO
A-5,62,34.798,3,1,36.576,3,0,39.116,3,1,40.64,3,1,40.894,4,1,0,0,9,CACO
A-3,117,17.78,4,0,18.288,4,0,18.796,4,0,19.05,4,0,0,0,9,0,0,0,CACO
A-3,150,30.226,3,0,30.988,3,0,31.496,3,0,0,0,9,0,0,0,0,0,0,CACO
B0,202,11.938,4,0,12.446,4,0,13.462,4,0,14.224,4,0,14.478,4,0,15.748,4,3,CACO
A-3,142,27.686,4,0,27.94,4,0,0,0,9,0,0,0,0,0,0,0,0,0,CACO
B-3,95,22.352,3,0,23.876,3,0,24.892,3,0,0,0,9,0,0,0,0,0,0,CACO
B0,52,12.954,4,0,13.462,4,0,14.224,4,1,14.478,4,1,14.478,4,1,0,0,9,CACO
A-3,129,10.922,4,0,11.176,4,0,11.684,4,0,12.192,4,0,12.7,4,0,13.97,4,0,CACO
B0,2,34.036,2,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,CACO
A0,21,33.274,3,0,34.036,3,1,35.052,3,1,0,0,9,0,0,0,0,0,0,CACO
A-4,294,58.674,2,0,59.944,2,0,59.944,2,0,0,0,9,0,0,0,0,0,0,CACO
B0,78,39.37,2,0,40.132,2,0,0,0,9,0,0,0,0,0,0,0,0,0,CACO
A-3,135,32.512,2,0,33.274,2,0,33.274,3,2,0,0,9,0,0,0,0,0,0,CACO
B-3,67,46.99,2,0,48.768,2,0,50.546,2,0,0,0,9,0,0,0,0,0,0,CACO
B0,53,28.956,3,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,CACO
A0,288,7.874,4,0,8.128,4,0,0,0,9,0,0,0,0,0,0,0,0,0,CACO
B0,27,11.684,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,CACO
B0,199,39.878,2,41,41.656,2,4,41.91,3,14,0,0,9,0,0,0,0,0,0,CACO
