site,trees,species,Status,dbh,TreeHt,DateCreated
1301,1,ACSA,L,16.3,20.16,25-Feb-03
1301,2,ACSA,L,51.5,33.925,25-Feb-03
1301,3,ACSA,L,17.5,20.79,25-Feb-03
1301,4,ACSA,L,17.7,23.04,25-Feb-03
1301,5,ACSA,L,21.3,27.45,25-Feb-03
1301,6,ACSA,L,12.2,23.45,25-Feb-03
1301,7,unk,D,19,7,25-Feb-03
1301,8,ACSA,L,20.1,21.875,25-Feb-03
1301,9,ACSA,L,9.3,12.2,25-Feb-03
1301,10,ACSA,L,23.8,21.825,25-Feb-03
1301,11,ACSA,L,26.3,9.36,25-Feb-03
1301,12,ACSA,L,6.7,26.98,25-Feb-03
1301,13,ACSA,L,35.8,27.15,25-Feb-03
1301,14,FAGR,L,36.5,31.265,25-Feb-03
1302,1,FAGR,L,25.5,19.125,25-Feb-03
1302,2,FAGR,L,12.8,11.25,25-Feb-03
1302,3,FAGR,L,11.8,10.125,25-Feb-03
1302,4,unk,D,14.5,6.36,25-Feb-03
1302,5,unk,D,28.2,12.09,25-Feb-03
1302,6,FAGR,L,6.1,6.24,25-Feb-03
1302,7,FAGR,L,14.1,11.59,25-Feb-03
1302,8,unk,D,17.5,10,25-Feb-03
1302,9,QUPR,L,34,24.78,25-Feb-03
1302,10,FAGR,L,9.5,10.105,25-Feb-03
1302,11,unk,D,22.9,20.7,25-Feb-03
1302,12,unk,D,15.6,2.5,25-Feb-03
1302,13,unk,D,8.5,13.5,25-Feb-03
1302,14,FAGR,L,5.7,7.02,25-Feb-03
1302,15,unk,D,16.5,4,25-Feb-03
1302,16,ACSA,L,31,26.25,25-Feb-03
1302,17,FAGR,L,8.4,14.04,25-Feb-03
1302,18,FAGR,L,6.7,9.9,25-Feb-03
1302,19,FAGR,L,11.9,16.56,25-Feb-03
1302,20,unk,D,26,26.445,25-Feb-03
1302,21,unk,D,22,11.5,25-Feb-03
1302,22,FAGR,L,8.7,12.74,25-Feb-03
1302,23,FAGR,L,7.7,7.65,25-Feb-03
1302,24,FAGR,L,17.4,18.29,25-Feb-03
1302,25,FAGR,L,25.3,26.07,25-Feb-03
1302,26,FAGR,L,27.1,16.8,25-Feb-03
1302,27,FAGR,L,11.6,12.865,25-Feb-03
1302,28,unk,D,15.5,5.52,25-Feb-03
1302,29,QURU,L,77,35.705,25-Feb-03
1302,30,QURU,L,40.5,29.05,25-Feb-03
1302,31,FAGR,L,24.3,22.56,25-Feb-03
1302,32,FAGR,L,5.9,7,25-Feb-03
1303,1,TIAM,L,9.3,12.42,25-Feb-03
1303,2,TIAM,L,19.4,21.87,25-Feb-03
1303,3,TIAM,L,38.7,25.92,25-Feb-03
1303,4,TIAM,L,29.1,25.38,25-Feb-03
1303,5,FAGR,L,7.8,10.15,25-Feb-03
1303,6,FAGR,L,15.3,15.96,25-Feb-03
1303,7,FAGR,L,11.5,13.195,25-Feb-03
1303,8,MAAC,L,24.4,24.64,25-Feb-03
1303,9,ACSA,L,7.4,9.72,25-Feb-03
1303,10,CACO,L,28.5,32.34,25-Feb-03
1303,11,LITU,L,25.6,32,25-Feb-03
1303,12,CACO,L,18.3,25.65,25-Feb-03
1303,13,CACO,D,14,15.75,25-Feb-03
1303,14,ACSA,L,19.6,25,25-Feb-03
1303,15,FAGR,L,25.2,30.8,25-Feb-03
1303,16,ACSA,L,7.5,9.6,25-Feb-03
1303,17,ACSA,L,9.8,13.2,25-Feb-03
1303,18,ACRU,L,17.6,14.7,25-Feb-03
1303,19,TIAM,L,64.1,37.5,25-Feb-03
1304,1,ACSA,L,20.9,17.08,25-Feb-03
1304,2,ACSA,L,6,8.68,25-Feb-03
1304,3,FAGR,L,7,6.5,25-Feb-03
1304,4,ACSA,L,17.4,20.3,25-Feb-03
1304,5,MAFR,L,8.1,10.4,25-Feb-03
1304,6,ACSA,L,7.3,9,25-Feb-03
1304,7,unk,D,15.8,14.22,25-Feb-03
1304,8,ACSA,L,6.2,8.19,25-Feb-03
1304,9,ACSA,L,8.4,9.36,25-Feb-03
1304,10,QUCO,L,71.9,33.54,25-Feb-03
1304,11,FAGR,L,5.2,5.39,25-Feb-03
1304,12,ACSA,L,13.2,18.43,25-Feb-03
1304,13,unk,D,17.8,14.9,25-Feb-03
1304,14,ACSA,L,12.7,12.58,25-Feb-03
1304,15,QURU,L,46,26.28,25-Feb-03
1304,16,QURU,L,33.7,27.75,25-Feb-03
1304,17,ACSA,L,8.4,6.5,25-Feb-03
1304,18,ACSA,L,19.7,20.77,25-Feb-03
1304,19,QURU,L,31.2,25.375,25-Feb-03
1304,20,NYSA,L,35.4,21.33,25-Feb-03
1304,21,MAFR,L,24.8,16.44,25-Feb-03
1304,22,QURU,L,48.7,30.71,25-Feb-03
1304,23,MAFR,L,39.5,26.03,25-Feb-03
