species,a,b,region,eq,form,Origin_ref,ref
ACRU,0.091,2.508,WV,1,1,Brenneman1978,Ter-Miakelian
ACRU,0.1651,2.2394,RI,2,1,Bridge1979,Ter-Miakelian
ACRU,0.1262,2.3804,ME,2,1,Young1980,Ter-Miakelian
ABBA,0.1746,2.1555,NB,2,1,Ker1984,
BEAL,0.1588,2.3376,ME,2,1,Young1980,
BEAL,0.154,2.3753,WV,1,1,Brenneman1978,Ter-Miakelian
BEAL,0.1684,2.415,NH,2,1,Whittaker1974,Ter-Miakelian
BEPA,0.0612,2.6634,ME,2,1,Young1980,Ter-Miakelian
BELE,0.0629,2.6606,WV,1,1,Brenneman1978,Ter-Miakelian
FAGR,0.0842,2.5715,WV,1,1,Brenneman1978,Ter-Miakelian
FAGR,0.1957,2.3916,NH,2,1,Whittaker1974,Ter-Miakelian
FRAM,0.1063,2.4798,WV,1,1,Brenneman1978,Ter-Miakelian
FRAM,0.1634,2.348,GreatLakes,2,1,Perala1994,Ter-Miakelian
LITU,0.0365,2.7324,WV,1,1,Brenneman1978,Ter-Miakelian
LITU,0.0687,2.5153,WV,2,1,Wiant1977,Ter-Miakelian
PCRU,0.2066,2.183,NH,2,1,Whittaker1974,
PIST,0.0696,2.449,ME,1,1,Young1980,
PRSE,0.0716,2.6174,WV,1,1,Brenneman1978,Ter-Miakelian
QUAL,0.0579,2.6887,WV,3,1,Brenneman1978,Ter-Miakelian
QUAL,0.0293,2.8661,RI,2,1,Bridge1979,Ter-Miakelian
QUCO,0.1241,2.4395,WV,1,1,Wiant1977,
QUAL,0.2022,2.1666,NY,3,1,Whittaker1968,Ter-Miakelian
QUAL,0.0472,2.701,WV,1,1,Wiant1977,Ter-Miakelian
QUMO,0.0554,2.7276,WV,1,1,Brenneman1978,Ter-Miakelian
QUMO,0.0907,2.5344,WV,2,1,Wiant1977,Ter-Miakelian
QURU,0.113,2.4572,WV,1,1,Brenneman1978,Ter-Miakelian
QURU,0.1335,2.422,GreatLakes,2,1,Perala1994,Ter-Miakelian
QURU,0.0643,2.6598,WV,3,1,Wiant1977,Ter-Miakelian
THOC,0.2305,1.9269,ME,2,1,Young1980,
TSCA,0.0622,2.45,WV,1,1,Brenneman1978,Ter-Miakelian
TSCA,0.0991,2.3617,ME,2,1,Young1980,Ter-Miakelian
JUCI,-2.5095,2.6175,,1,3,,
CACO,0.0792,2.6349,WV,1,1,Brenneman1978,Ter-Mikaelian
CAGL,0.0792,2.6349,WV,1,1,Brenneman1978,Ter-Mikaelian
CAOV,0.0792,2.6349,WV,1,1,Brenneman1978,Ter-Mikaelian
OSVI,-1.8096,2.348,,1,3,Chojnakcy,
QUVE,0.0945,2.503,WV,1,1,Wiant1977,
ULFU,0.0825,2.468,Upper GL,1,,Perala1995,
MAAC,-2.5497,2.501,,1,3,,
MAFR,-2.5497,2.501,,1,3,,
SAAL,-2.2118,2.4133,,1,3,Chojnakcy,
ROPS,-2.5095,2.5437,,1,3,,
ACSA,0.1008,2.5735,WV,1,1,Brenneman1978,Ter-Mikaelian
TIAM,0.0617,2.5328,WV,1,1,Brenneman1978,
NYSA,-2.2118,2.4133,,1,3,,
OXAR,-2.2118,2,,1,3,,
AMAR,-2.9255,2.4109,,1,3,,
PRPE,0.2159,1.7041,NB,1,1,Young,
AIAL,-0.98,2.506,CT,1,3,,
ACSP,0.204,0.2524,NH,1,1,Whittaker1974,
ASTR,-2.5497,2.501,,1,3,,
