plot,tree no.,species,DBH1979,Cnpy1979,rem1979,DBH1983,Cnpy1983,rem1983,DBH1989,Cnpy1989,rem1989,DBH1994,Cnpy1994,rem1994,DBH1999,Cnpy1999,rem1999,DBH2009,Cnpy2009,rem2009
A0,657,78,0,0,0,0,0,0,0,0,0,0,0,0,1.7,4,1,3.3,4,1
A0,742,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,4,0
A0,743,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,4,3
A0,744,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,4,0
A0,745,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,4,0
A0,658,78,0,0,0,0,0,0,0,0,0,0,0,0,1.7,4,1,3.7,4,0
A0,659,78,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1.6,4,1
A0,1,76,3.7,4,8,4,4,8,4.2,4,8,4.4,4,31,4.4,4,13,0,0,9
A0,2,76,2.6,4,81,2.6,4,8,0,0,9,0,0,0,0,0,0,0,0,0
A0,3,76,2.3,4,8,2.4,4,2,2.5,4,2,2.6,4,2,3,4,2,3.7,4,0
A0,4,66,11.6,2,1,12.2,2,0,12.8,2,1,13.4,4,2,13.5,4,21,13.5,4,12
A0,660,32,0,0,0,0,0,0,0,0,0,0,0,0,1.5,4,0,1.9,4,0
A0,661,78,0,0,0,0,0,0,0,0,0,0,0,0,1.4,4,0,0,0,9
A0,5,76,5.2,4,8,5.5,4,8,5.8,4,0,5.9,3,0,7.2,3,0,8.8,3,0
A0,6,29,11,3,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
A0,662,32,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,4,0
A0,7,66,13.7,3,0,14.3,3,0,14.7,3,0,14.9,2,0,15.7,2,1,17.6,2,0
A0,8,76,2.4,4,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
A0,194,76,0,0,0,0,0,0,0,0,0,0,0,0,2.5,4,0,2.9,4,0
A0,633,32,0,0,0,0,0,0,0,0,0,1.3,4,0,2.3,4,0,3.1,4,0
A0,9,76,3.1,4,8,3.4,4,8,3.7,4,8,3.8,4,0,4.8,4,0,5.7,4,0
A0,10,76,3.1,4,8,3.4,4,8,3.6,4,0,3.8,4,0,4.1,4,0,4.5,4,0
A0,746,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,4,1
A0,11,66,15,2,0,16.2,2,0,17.5,2,0,18.7,2,0,19.7,2,0,21.3,2,0
A0,12,76,2.7,4,8,2.9,4,8,3.1,4,0,3.3,4,0,3.7,4,0,4.2,4,0
A0,663,78,0,0,0,0,0,0,0,0,0,0,0,0,1.4,4,0,0,0,9
A0,13,76,4.6,4,8,4.9,4,8,5.2,4,8,5.4,4,0,5.9,4,0,6.5,4,0
A0,14,71,10.7,3,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
A0,747,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1
A0,748,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,4,0
A0,15,76,2.6,4,81,2.9,4,38,3.1,4,38,3.2,4,38,3.7,4,3,4,4,0
A0,16,40,17,2,0,18,2,0,19.1,2,0,20.3,2,0,22.1,2,0,25.9,2,0
A0,17,40,11,3,0,11.1,4,0,0,0,9,0,0,0,0,0,0,0,0,0
A0,664,78,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,9
A0,644,78,0,0,0,0,0,0,0,0,0,1.4,4,0,2.1,4,0,2.7,4,0
A0,665,78,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,9
A0,18,53,5.6,4,0,5.8,4,0,6,4,0,6.3,4,2,6.7,4,21,0,0,9
A0,666,78,0,0,0,0,0,0,0,0,0,0,0,0,1.1,4,0,1.7,4,0
A0,645,78,0,0,0,0,0,0,0,0,0,1,4,0,1.4,4,3,0,0,9
A0,19,84,5.2,4,8,5.4,4,0,5.6,4,0,5.9,4,0,6.7,3,0,7.8,3,0
A0,646,84,0,0,0,0,0,0,0,0,0,1,4,0,1.2,4,31,1.8,4,13
A0,647,78,0,0,0,0,0,0,0,0,0,1.5,4,0,2.3,4,0,0,0,9
A0,20,66,23.3,2,0,24.9,2,0,26.4,2,1,26.9,2,1,27.2,4,21,0,0,9
A0,21,76,1,4,81,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
A0,667,78,0,0,0,0,0,0,0,0,0,0,0,0,1.3,4,0,2.1,4,0
A0,668,78,0,0,0,0,0,0,0,0,0,0,0,0,1.6,4,0,2.2,4,0
A0,22,76,4.6,4,8,4.9,4,8,5,4,0,5.5,3,0,5.7,3,0,6.7,3,0
A0,23,71,12.5,3,0,12.8,3,0,13,3,1,0,0,9,0,0,0,0,0,0
A0,749,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,4,0
A0,750,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
A0,751,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,4,0
A0,752,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,4,0
A0,669,78,0,0,0,0,0,0,0,0,0,0,0,0,1.6,4,0,2.8,4,0
A0,531,76,0,0,0,1.1,4,8,1.3,4,8,1.5,4,8,1.7,4,0,2.1,4,0
A0,753,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,4,0
A0,670,78,0,0,0,0,0,0,0,0,0,0,0,0,1.6,4,0,0,0,9
