year,innerNest,outerNest,innerAB,outerAB,nestMean.ann,nestmeanAB
1809,NA,0.007627026,NA,0.598354537,NA,NA
1810,NA,0.002047962,NA,0.600402498,NA,NA
1811,NA,0.001692606,NA,0.602095105,NA,NA
1812,0.009015466,0.00309508,0.150380591,0.334006015,0.006055273,0.242193303
1813,0.007528595,0.002714938,0.157909186,0.336720953,0.005121767,0.24731507
1814,0.003165213,0.001201707,0.1610744,0.33792266,0.00218346,0.24949853
1815,0.005387519,0.003396666,0.166461919,0.341319326,0.004392092,0.253890622
1816,0.002665258,0.001817144,0.169127176,0.34313647,0.002241201,0.256131823
1817,0.003911363,0.003221579,0.17303854,0.346358049,0.003566471,0.259698294
1818,0.003949537,0.002934662,0.176988076,0.349292711,0.003442099,0.263140394
1819,0.004322548,0.003442578,0.181310624,0.352735289,0.003882563,0.267022956
1820,0.005973966,0.003441989,0.18728459,0.356177278,0.004707977,0.271730934
1821,0.007234457,0.004885444,0.194519047,0.361062721,0.00605995,0.277790884
1822,0.005059217,0.004241342,0.199578264,0.365304063,0.004650279,0.282441164
1823,0.005629813,0.003770806,0.205208077,0.36907487,0.00470031,0.287141473
1824,0.003750642,0.004303818,0.208958719,0.373378687,0.00402723,0.291168703
1825,0.003368721,0.003203424,0.21232744,0.376582111,0.003286073,0.294454776
1826,0.002097148,0.006601342,0.261671148,0.432609447,0.004349245,0.347140298
1827,0.003340796,0.008898478,0.265011944,0.441507925,0.006119637,0.353259935
1828,0.005670764,0.00988781,0.270682708,0.451395735,0.007779287,0.361039222
1829,0.006231801,0.008427972,0.276914509,0.459823706,0.007329886,0.368369108
1830,0.008379188,0.012976275,0.285293697,0.472799981,0.010677731,0.379046839
1831,0.006500291,0.010506058,0.291793988,0.483306039,0.008503174,0.387550013
1832,0.008912139,0.010180875,0.300706127,0.504689832,0.009546507,0.40269798
1833,0.007417571,0.008239351,0.308123698,0.512929183,0.007828461,0.410526441
1834,0.006492199,0.011871463,0.314615897,0.524800646,0.009181831,0.419708271
1835,0.007209456,0.00982884,0.321825353,0.534629487,0.008519148,0.42822742
1836,0.0046529,0.00695459,0.326478252,0.54158409,0.005803745,0.434031171
1837,0.004809844,0.008062976,0.331288097,0.549647066,0.00643641,0.440467582
1838,0.005194559,0.006555956,0.336482655,0.556203022,0.005875257,0.446342839
1839,0.006511426,0.04224132,0.342994081,3.307877067,0.024376373,1.825435574
1840,0.005270813,0.039227881,0.348264894,3.347104949,0.022249347,1.847684921
1841,0.005165906,0.03920234,0.3534308,3.386307288,0.022184123,1.869869044
1842,0.009820248,0.046838744,0.363251048,3.434848573,0.028329496,1.89904981
1843,0.006375091,0.02889428,0.202129684,2.322773016,0.017634686,1.26245135
1844,0.006318955,0.030511646,0.208448639,2.353284662,0.0184153,1.28086665
1845,0.006037209,0.033072,0.214485848,2.386356663,0.019554605,1.300421255
1846,0.005469712,0.013328887,0.21995556,2.39968555,0.0093993,1.309820555
1847,0.00687503,0.0140331,0.226830589,2.522587921,0.010454065,1.374709255
1848,0.009158577,0.017343922,0.235989166,2.618140919,0.013251249,1.427065043
1849,0.006970144,0.019546703,0.203363771,2.700739836,0.013258423,1.452051803
1850,0.008852937,0.023570502,0.212216708,2.724310338,0.01621172,1.468263523
1851,0.01895422,0.030742141,0.303162093,2.785468746,0.02484818,1.544315419
1852,0.022150608,0.037297808,0.343292175,2.843765532,0.029724208,1.593528854
1853,0.019516272,0.035246682,0.362808448,2.879012214,0.027381477,1.620910331
1854,0.021392577,0.037236231,0.384201024,2.916248445,0.029314404,1.650224735
