year,How1Mean,How2Mean,How3Mean,How1inner,How2inner,How3inner,How1outer,How2outer,How3outer,How1innerAB,How2innerAB,How3innerAB,How1outerAB,How2outerAB,How3outerAB,How1meanAB,How2meanAB,How3meanAB,maxMean,minMean,maxOuter,minOuter,maxInner,minInner,maxMeanAB,minMeanAB,maxOuterAB,minOuterAB,maxInnerAB,minInnerAB
1809,NA,NA,NA,NA,NA,NA,NA,NA,0.007627026,NA,NA,NA,NA,NA,0.598354537,NA,NA,NA,#NAME?,Inf,0.007627026,0.007627026,#NAME?,Inf,#NAME?,Inf,0.598354537,0.598354537,#NAME?,Inf
1810,NA,NA,NA,NA,NA,NA,NA,NA,0.002047962,NA,NA,NA,NA,NA,0.600402498,NA,NA,NA,#NAME?,Inf,0.002047962,0.002047962,#NAME?,Inf,#NAME?,Inf,0.600402498,0.600402498,#NAME?,Inf
1811,NA,NA,NA,NA,NA,NA,NA,NA,0.001692606,NA,NA,NA,NA,NA,0.602095105,NA,NA,NA,#NAME?,Inf,0.001692606,0.001692606,#NAME?,Inf,#NAME?,Inf,0.602095105,0.602095105,#NAME?,Inf
1812,NA,0.00641225,NA,NA,0.009015466,NA,NA,0.003809034,0.002381126,NA,0.150380591,NA,NA,0.0635358,0.604476231,NA,0.106958195,NA,0.00641225,0.00641225,0.003809034,0.002381126,0.009015466,0.009015466,0.106958195,0.106958195,0.604476231,0.0635358,0.150380591,0.150380591
1813,NA,0.005354713,NA,NA,0.007528595,NA,NA,0.003180832,0.002249044,NA,0.157909186,NA,NA,0.066716631,0.606725274,NA,0.112312909,NA,0.005354713,0.005354713,0.003180832,0.002249044,0.007528595,0.007528595,0.112312909,0.112312909,0.606725274,0.066716631,0.157909186,0.157909186
1814,NA,0.002251258,NA,NA,0.003165213,NA,NA,0.001337303,0.001066112,NA,0.1610744,NA,NA,0.068053934,0.607791387,NA,0.114564167,NA,0.002251258,0.002251258,0.001337303,0.001066112,0.003165213,0.003165213,0.114564167,0.114564167,0.607791387,0.068053934,0.1610744,0.1610744
1815,NA,0.003831873,NA,NA,0.005387519,NA,NA,0.002276227,0.004517105,NA,0.166461919,NA,NA,0.070330161,0.612308491,NA,0.11839604,NA,0.003831873,0.003831873,0.004517105,0.002276227,0.005387519,0.005387519,0.11839604,0.11839604,0.612308491,0.070330161,0.166461919,0.166461919
1816,NA,0.001895664,NA,NA,0.002665258,NA,NA,0.001126071,0.002508217,NA,0.169127176,NA,NA,0.071456232,0.614816709,NA,0.120291704,NA,0.001895664,0.001895664,0.002508217,0.001126071,0.002665258,0.002665258,0.120291704,0.120291704,0.614816709,0.071456232,0.169127176,0.169127176
1817,NA,0.002781957,NA,NA,0.003911363,NA,NA,0.001652551,0.004790607,NA,0.17303854,NA,NA,0.073108783,0.619607316,NA,0.123073661,NA,0.002781957,0.002781957,0.004790607,0.001652551,0.003911363,0.003911363,0.123073661,0.123073661,0.619607316,0.073108783,0.17303854,0.17303854
1818,NA,0.002809108,NA,NA,0.003949537,NA,NA,0.001668679,0.004200645,NA,0.176988076,NA,NA,0.074777462,0.623807961,NA,0.125882769,NA,0.002809108,0.002809108,0.004200645,0.001668679,0.003949537,0.003949537,0.125882769,0.125882769,0.623807961,0.074777462,0.176988076,0.176988076
1819,NA,0.003074412,NA,NA,0.004322548,NA,NA,0.001826276,0.005058879,NA,0.181310624,NA,NA,0.076603738,0.62886684,NA,0.128957181,NA,0.003074412,0.003074412,0.005058879,0.001826276,0.004322548,0.004322548,0.128957181,0.128957181,0.62886684,0.076603738,0.181310624,0.181310624
1820,NA,0.004248983,NA,NA,0.005973966,NA,NA,0.002524001,0.004359977,NA,0.18728459,NA,NA,0.079127739,0.633226816,NA,0.133206165,NA,0.004248983,0.004248983,0.004359977,0.002524001,0.005973966,0.005973966,0.133206165,0.133206165,0.633226816,0.079127739,0.18728459,0.18728459
1821,NA,0.005145508,NA,NA,0.007234457,NA,NA,0.003056558,0.006714329,NA,0.194519047,NA,NA,0.082184297,0.639941145,NA,0.138351672,NA,0.005145508,0.005145508,0.006714329,0.003056558,0.007234457,0.007234457,0.138351672,0.138351672,0.639941145,0.082184297,0.194519047,0.194519047
1822,NA,0.003598368,NA,NA,0.005059217,NA,NA,0.002137519,0.006345165,NA,0.199578264,NA,NA,0.084321817,0.64628631,NA,0.14195004,NA,0.003598368,0.003598368,0.006345165,0.002137519,0.005059217,0.005059217,0.14195004,0.14195004,0.64628631,0.084321817,0.199578264,0.199578264
1823,NA,0.004004204,NA,NA,0.005629813,NA,NA,0.002378596,0.005163017,NA,0.205208077,NA,NA,0.086700412,0.651449327,NA,0.145954245,NA,0.004004204,0.004004204,0.005163017,0.002378596,0.005629813,0.005629813,0.145954245,0.145954245,0.651449327,0.086700412,0.205208077,0.205208077
1824,NA,0.002667644,NA,NA,0.003750642,NA,NA,0.001584646,0.007022989,NA,0.208958719,NA,NA,0.088285059,0.658472316,NA,0.148621889,NA,0.002667644,0.002667644,0.007022989,0.001584646,0.003750642,0.003750642,0.148621889,0.148621889,0.658472316,0.088285059,0.208958719,0.208958719
1825,NA,0.002396003,NA,NA,0.003368721,NA,NA,0.001423285,0.004983563,NA,0.21232744,NA,NA,0.089708344,0.663455879,NA,0.151017892,NA,0.002396003,0.002396003,0.004983563,0.001423285,0.003368721,0.003368721,0.151017892,0.151017892,0.663455879,0.089708344,0.21232744,0.21232744
1826,NA,0.001491596,NA,NA,0.002097148,NA,NA,0.000886045,0.012316639,NA,0.261671148,NA,NA,0.11055606,0.754662835,NA,0.186113604,NA,0.001491596,0.001491596,0.012316639,0.000886045,0.002097148,0.002097148,0.186113604,0.186113604,0.754662835,0.11055606,0.261671148,0.261671148
1827,NA,0.002376141,NA,NA,0.003340796,NA,NA,0.001411486,0.016385469,NA,0.265011944,NA,NA,0.111967547,0.771048303,NA,0.188489746,NA,0.002376141,0.002376141,0.016385469,0.001411486,0.003340796,0.003340796,0.188489746,0.188489746,0.771048303,0.111967547,0.265011944,0.265011944
1828,NA,0.004033331,NA,NA,0.005670764,NA,NA,0.002395898,0.017379722,NA,0.270682708,NA,NA,0.114363444,0.788428025,NA,0.192523076,NA,0.004033331,0.004033331,0.017379722,0.002395898,0.005670764,0.005670764,0.192523076,0.192523076,0.788428025,0.114363444,0.270682708,0.270682708
1829,NA,0.004432368,NA,NA,0.006231801,NA,NA,0.002632936,0.014223007,NA,0.276914509,NA,NA,0.11699638,0.802651033,NA,0.196955445,NA,0.004432368,0.004432368,0.014223007,0.002632936,0.006231801,0.006231801,0.196955445,0.196955445,0.802651033,0.11699638,0.276914509,0.276914509
1830,NA,0.005959697,NA,NA,0.008379188,NA,NA,0.003540207,0.022412342,NA,0.285293697,NA,NA,0.120536587,0.825063375,NA,0.202915142,NA,0.005959697,0.005959697,0.022412342,0.003540207,0.008379188,0.008379188,0.202915142,0.202915142,0.825063375,0.120536587,0.285293697,0.285293697
1831,NA,0.004623332,NA,NA,0.006500291,NA,NA,0.002746373,0.018265742,NA,0.291793988,NA,NA,0.12328296,0.843329117,NA,0.207538474,NA,0.004623332,0.004623332,0.018265742,0.002746373,0.006500291,0.006500291,0.207538474,0.207538474,0.843329117,0.12328296,0.291793988,0.291793988
1832,NA,0.006338759,NA,NA,0.008912139,NA,NA,0.003765379,0.01659637,NA,0.300706127,NA,NA,0.127048339,0.882331326,NA,0.213877233,NA,0.006338759,0.006338759,0.01659637,0.003765379,0.008912139,0.008912139,0.213877233,0.213877233,0.882331326,0.127048339,0.300706127,0.300706127
1833,NA,0.005275748,NA,NA,0.007417571,NA,NA,0.003133924,0.013344778,NA,0.308123698,NA,NA,0.130182263,0.895676104,NA,0.21915298,NA,0.005275748,0.005275748,0.013344778,0.003133924,0.007417571,0.007417571,0.21915298,0.21915298,0.895676104,0.130182263,0.308123698,0.308123698
1834,NA,0.004617576,NA,NA,0.006492199,NA,NA,0.002742954,0.020999971,NA,0.314615897,NA,NA,0.132925216,0.916676076,NA,0.223770557,NA,0.004617576,0.004617576,0.020999971,0.002742954,0.006492199,0.006492199,0.223770557,0.223770557,0.916676076,0.132925216,0.314615897,0.314615897
1835,NA,0.005127725,NA,NA,0.007209456,NA,NA,0.003045995,0.016611686,NA,0.321825353,NA,NA,0.135971211,0.933287762,NA,0.228898282,NA,0.005127725,0.005127725,0.016611686,0.003045995,0.007209456,0.007209456,0.228898282,0.228898282,0.933287762,0.135971211,0.321825353,0.321825353
1836,NA,0.003309375,NA,NA,0.0046529,NA,NA,0.00196585,0.011943329,NA,0.326478252,NA,NA,0.137937089,0.945231091,NA,0.232207671,NA,0.003309375,0.003309375,0.011943329,0.00196585,0.0046529,0.0046529,0.232207671,0.232207671,0.945231091,0.137937089,0.326478252,0.326478252
1837,NA,0.003424761,NA,NA,0.004809844,NA,NA,0.002039678,0.014086275,NA,0.331288097,NA,NA,0.139976767,0.959317365,NA,0.235632432,NA,0.003424761,0.003424761,0.014086275,0.002039678,0.004809844,0.004809844,0.235632432,0.235632432,0.959317365,0.139976767,0.331288097,0.331288097
1838,NA,0.003705925,NA,NA,0.005194559,NA,NA,0.002217292,0.010894619,NA,0.336482655,NA,NA,0.142194059,0.970211985,NA,0.239338357,NA,0.003705925,0.003705925,0.010894619,0.002217292,0.005194559,0.005194559,0.239338357,0.239338357,0.970211985,0.142194059,0.336482655,0.336482655
