plot,Tree_Num,Loc_X,Loc_Y,spp,ht,DBH1989,Cnpy1989,DBH1998,Cnpy1998,DBH2002,Cnpy2002,DBH2010,Cnpy2010,Notes
1,1319,12.8,17.2,PCRU,10,11.5,3,11.5,3,11.5,7,11.5,7,Down
1,9001,21.4,6.4,ACRU,12,15,4,16.9,4,18,4,19.4,2,
1,9002,21.2,6.3,ACRU,9,4,5,5,5,5.2,5,5.6,4,
1,9003,20.2,5.4,ACRU,8,4.1,5,5.2,5,5.4,5,5.55,4,
1,9004,20,5.3,ACRU,8,5,5,6.3,5,6.6,5,7.5,4,
1,9005,21.6,7.4,PCRU,16,23,2,25,2,25.9,2,27.1,2,
1,9006,23.1,6.6,ACRU,9,5.1,5,6.7,5,5.8,5,5.65,4,
1,9007,23.4,7,ACRU,8,5.1,5,5.9,5,6.4,5,7.5,4,
1,9008,23.3,6.8,ACRU,7,4,5,4.2,5,4.4,5,4.3,5,
1,9009,22.1,10,TSCA,5,6,5,6.2,5,6.6,5,6.6,5,
1,9010,21.3,9.8,TSCA,11,18.5,4,18.9,4,19.2,4,20,3,
1,9011,20.2,9.7,TSCA,12,9.7,6,9.9,6,9.4,6,9.3,7,Standing
1,9012,22.5,9.9,TSCA,5,4.8,5,5.5,5,5.5,6,6.05,5,
1,9013,22.5,10.4,THOC,13,26,6,26.9,6,27.2,4,28.1,6,
1,9014,21.2,11.7,PCRU,16,26.5,2,27.8,2,29.3,2,30.15,2,
1,9015,22.7,14.3,PCRU,15,18.4,3,18.8,3,18.5,3,18.75,3,
1,9016,23.8,15.6,PCRU,16,26.4,2,28.7,2,29,2,31.8,2,
1,9017,22.6,16.4,TSCA,5,6.4,5,7.5,5,8.1,6,9.5,5,
1,9018,20.4,16.1,PCRU,15,25.2,2,26.1,2,26.3,2,25,2,
1,9019,20.8,16.2,THOC,9,14.3,7,14.3,7,14.2,7,14,7,Standing
1,9020,20.8,17.4,PCRU,16,25.2,2,27,2,27.5,2,28.95,2,
1,9021,21.5,18.9,PCRU,16,23.6,2,24.6,2,24.9,2,25.15,2,
1,9022,21.8,22.9,PCRU,7,11,4,12.8,4,13.5,4,15.1,4,
1,9023,20.9,23.8,TSCA,9,7.8,7,7.8,7,7.8,7,7.8,7,Down
1,9024,22.1,24.3,ACRU,14,20,3,22.3,3,22.6,3,23.95,3,
1,9025,22.9,23.4,ACRU,8,5,5,6.4,5,6.6,5,6.6,7,Standing
1,9026,23.6,23,TSCA,5,4.5,5,4.8,5,4.9,5,5.3,2,
1,9027,24,22.6,TSCA,15,28.5,2,30.9,2,31.6,2,33.5,2,
1,9028,24.5,24.6,TSCA,9,9.3,6,9.3,6,8.2,6,9.3,7,Down
1,9029,23.8,24.8,ABBA,0,13.8,6,13.8,6,13.8,7,13.8,7,Down
1,9401,1.7,1.5,TSCA,17,27.8,2,28.4,2,28.4,2,29.5,2,
1,9402,4.3,2,PCRU,10,10.5,4,11.1,4,11.1,4,11.4,4,
1,9403,3.7,2.4,PCRU,10,6.9,6,7.4,6,7.3,7,7.4,7,Down
1,9404,1,1.1,THOC,12,17.9,6,17.9,6,17.8,6,17.3,6,
1,9405,3.2,4.4,TSCA,4,4.4,5,4.6,5,4.3,5,4.2,7,Standing
1,9406,4.4,4.7,TSCA,14,19.3,2,21.4,2,21.5,2,23.05,2,
1,9407,3.5,5,TSCA,4,4.7,5,5.1,5,4.9,5,5.1,5,Retagged #1501
1,9408,3.5,5.7,TSCA,4,5.8,5,6,5,6.1,6,6.5,6,
1,9409,1,7.2,TSCA,16,31.7,2,31.7,2,33,2,33.05,2,
1,9410,0.5,7.4,TSCA,16,28.3,2,28.3,2,28.6,2,29.1,2,
1,9411,1.1,9.5,PCRU,9,10.7,5,11.1,5,11.4,5,12.3,4,
1,9412,0.3,10.8,TSCA,14,21.5,3,22.6,3,23,3,24.1,2,
1,9413,1.4,14.5,TSCA,6,7.4,5,7.9,5,8,6,8.2,4,
1,9414,0.4,15.3,TSCA,18,31.2,2,32.4,2,32.5,2,32.3,2,
1,9415,1.2,16,TSCA,6,5,5,5.3,5,5.4,5,5.2,7,Standing
1,9416,2.2,15.2,ACRU,15,21.3,3,22.8,3,23.2,3,23.85,2,
1,9417,0.8,16.3,TSCA,8,7.4,5,7.7,5,8.1,5,8.3,4,
1,9418,4.2,17.5,TSCA,15,24,2,24.6,2,24.6,2,34.95,2,
1,9419,0.6,7.8,TSCA,8,8,7,8,7,8,7,8,7,Down
1,9420,3.2,20,TSCA,12,9.5,7,9.5,7,9.5,7,9.5,7,Down
1,9421,4.8,19.9,TSCA,12,9.1,6,9.8,6,9.6,6,10.9,4,
1,9422,4.5,20.1,PCRU,16,20,2,22.5,2,22.7,2,24.65,2,
1,9423,1.6,22,PCRU,17,23,2,23.4,2,23.4,2,24.5,2,
1,9424,3.8,22.7,ABBA,11,9,7,9,7,9,7,9,7,Down
1,9425,1.6,23.7,ABBA,11,9.7,7,9.7,7,9.7,7,9.7,7,Down
1,9426,0.2,23.2,PCRU,17,18.6,2,20.3,2,21.1,2,23.1,2,
1,9427,2.9,24.5,PCRU,12,14.5,3,15.9,3,16.3,3,16.7,2,
1,9428,6.6,0.3,PCRU,14,18.6,2,22.1,2,22.6,2,24.5,2,
1,9430,6.8,2.3,ACRU,5,3.6,5,4,5,-99,-99,4.2,5,
1,9431,6.7,2.1,ACRU,6,3.5,5,3.8,5,-99,-99,3.9,5,
1,9432,6,2.1,ACRU,7,3.4,5,3.8,5,3.7,5,4.1,5,Retagged #1502
1,9433,6.4,2.6,ACRU,7,4.2,5,4.3,5,4.4,5,4.4,5,
1,9434,6.9,2.7,ACRU,5,3.5,5,4.4,5,4.1,6,3.95,5,
1,9435,6.2,2.7,ACRU,4,3.6,5,4.7,5,5.1,5,5.4,5,
1,9436,6.9,2.8,TSCA,12,18.2,2,19.5,2,20.4,2,22.95,2,
1,9437,7.6,15.4,PCRU,16,26.3,2,29.8,2,30.5,2,33.2,2,
1,9438,5.8,15.7,TSCA,10,7,6,7.3,6,7.5,6,7.8,4,
1,9439,5,15.7,TSCA,10,7,6,7.4,6,7.6,5,8.1,4,
1,9440,5.2,16.1,TSCA,8,4.5,7,4.5,7,4.5,7,4.5,7,Down
1,9441,5.2,16.5,TSCA,9,7.5,7,7.5,7,7.3,6,7.5,7,Standing
1,9442,6,18.1,TSCA,10,8.8,7,8.8,7,8.7,5,8.9,4,Alive
1,9443,7.1,18.8,TSCA,10,7.8,6,8,6,7.8,6,7.8,7,Standing
1,9444,5.7,20,TSCA,9,8,6,9.1,6,9.7,6,10.55,4,
1,9445,6.9,20.3,PCRU,18,27,2,29.9,2,30.6,2,32.2,2,
1,9446,5.3,23.9,TSCA,5,5.4,6,6.5,6,6.9,6,8.65,5,
1,9447,5.2,23.6,PCRU,12,15.3,7,15.3,7,15.3,7,15.3,7,Down
1,9448,10.4,0.6,THOC,8,10,4,10.6,4,10.7,4,10.85,4,
1,9449,11.7,0.2,TSCA,13,29.8,2,30.9,2,30.8,2,31.75,2,
1,9450,13.3,0.1,ABBA,14,13,3,13.1,3,13.1,3,13.5,7,Standing
1,9451,13,0,TSCA,4,3.5,7,3.5,7,3.5,7,3.5,7,Down
1,9452,12.3,2.1,TSCA,7,5.5,5,6,5,6.2,5,6.4,5,
1,9453,14.5,5.5,TSCA,8,11,4,11.5,4,11.6,6,12,5,
1,9454,14.8,9.4,BEAL,14,20.5,3,21.3,3,21.3,3,20.6,6,Yellow Birch (BEAL)
1,9455,13.8,9.2,PCRU,11,18,4,19,4,20.1,4,19.9,3,
1,9456,13.8,9.7,PCRU,14,28,2,28.5,2,32,2,32.8,2,
1,9457,13.8,10.1,TSCA,3,3.9,5,4.6,5,5.2,6,5.6,5,
1,9458,13.5,11.2,TSCA,8,8,5,9,5,9.7,5,10.5,4,
1,9459,10.6,13,PCRU,13,25,2,27.2,2,28,2,29.6,2,
1,9460,11.4,13.4,TSCA,5,6.9,5,8.2,5,8.9,6,10.6,4,
1,9461,11.6,15.6,PCRU,14,16,3,16.7,3,17,3,18.2,3,
1,9462,14.4,14.2,ACRU,8,4.8,5,5.9,5,6.8,5,7.2,4,
1,9463,14.5,14.1,ACRU,8,4.8,5,5.4,5,6.1,5,7.3,4,
1,9464,14.8,14.2,ACRU,8,6.8,5,7.9,5,8.4,5,8.65,4,
1,9465,14.5,14.4,ACRU,8,5.1,5,5.5,5,6,5,5.5,5,
1,9466,14.8,20.7,ACRU,6,3.8,5,4.3,5,4.6,5,4.85,4,
1,9467,14.9,20.7,ACRU,6,4.1,5,4.1,5,4.2,5,4.25,4,
1,9468,14.7,20.3,ACRU,6,3.3,5,3.5,5,3.5,5,3.45,7,Standing
1,9469,11.3,17.9,PCRU,0,16,7,16,7,16,7,16,7,Down
1,9470,10.6,21.3,PCRU,16,30.4,2,31.6,2,30.4,2,32.2,2,
1,9472,16.4,1.8,PCRU,17,27.3,2,29.5,2,31,2,32.9,2,
1,9473,18.2,0.2,TSCA,11,11,4,11.2,4,11,4,11.7,4,
1,9474,18.5,0.8,PCRU,12,10.8,7,10.8,7,10,7,9.35,7,Standing
1,9475,16.6,2.5,TSCA,5,5,5,6.1,5,6.4,5,7.45,5,
1,9476,17.1,4.8,TSCA,14,23.7,2,25.5,2,25.4,2,25.9,2,
1,9477,19.8,5.4,ACRU,6,3.1,5,4.2,5,4.4,5,4.25,5,
1,9478,19.7,5.6,ACRU,6,3.3,5,4.2,5,4.2,5,4.1,5,
