Site,Tree Number,species,Canopy,Status,DBH,Distance,Azimuth,Plot,Tag
LF1,1,TSCA,suppressed,alive,18.1,7.6,20,32,2693
LF1,2,QURU,dominant,alive,66,7.2,36,32,2703
LF1,3,ACRU,suppressed,alive,22.3,7.5,52,32,2716
LF1,4,ACRU,intermediate,alive,30.4,10.6,48,32,2719
LF1,5,ACRU,suppressed,alive,15.6,9.7,44,32,2714
LF1,6,ACRU,suppressed,dead,12,9.7,44,32,2711
LF1,7,BEAL,intermediate,alive,22.6,11.9,78,32,2740
LF1,8,TSCA,suppressed,alive,14.6,6.1,96,42,5936
LF1,9,FAGR,dominant,alive,33.9,3.3,112,42,3561
LF1,10,ACRU,dominant,alive,29.4,8.4,136,42,3571
LF1,11,ACRU,suppressed,alive,20.6,12.8,142,42,3582
LF1,12,QURU,dominant,alive,59,7.8,210,43,3850
LF1,13,QURU,intermediate,alive,43,4.3,190,43,3867
LF1,14,NA,suppressed,dead,23.6,8.4,226,43,3844
LF1,15,QURU,intermediate,alive,49.4,12.4,234,43,3820
LF1,16,QURU,codominant,alive,41.9,12,218,43,3839
LF1,17,FAGR,suppressed,alive,10.3,3.2,266,43,3877
LF1,18,ACRU,codominant,alive,26,3.4,346,33,3026
LF1,19,TSCA,suppressed,alive,10.4,6.4,294,33,5501
LF1,20,QURU,dominant,alive,69,9.5,276,33,2994
LF1,21,BEAL,suppressed,alive,20.1,11.1,302,33,2990
LF2,1,ACRU,intermediate,alive,19.4,8.4,48,10,1576
LF2,2,BEAL,suppressed,alive,13,9.9,18,10,1568
LF2,3,ACRU,suppressed,dead,16.2,9.9,24,10,1572
LF2,4,ACRU,intermediate,alive,21.6,12.1,50,10,1595
LF2,5,BEAL,suppressed,alive,11,12.1,54,10,1596
LF2,6,BEAL,suppressed,alive,13.9,12.1,62,10,1599
LF2,7,ACRU,suppressed,dead,11.5,6.3,84,10,NA
LF2,8,QURU,dominant,alive,53.8,3.8,110,20,1883
LF2,9,QURU,intermediate,alive,31.2,4.3,118,20,1886
LF2,10,QURU,dominant,alive,58.4,7.4,152,20,1888
LF2,11,QURU,codominant,alive,38.2,11.2,168,20,1878
LF2,12,ACRU,suppressed,alive,12.2,7.3,182,20,1863
LF2,13,FAGR,suppressed,alive,13.1,9.4,178,20,2007
LF2,14,ACRU,intermediate,alive,23.9,9.4,136,20,1904
LF2,15,BEAL,suppressed,alive,13.7,8,186,21,2168
LF2,16,ACRU,suppressed,alive,15.7,8.1,206,21,2156
LF2,17,QURU,intermediate,alive,31.3,10.7,200,21,2154
LF2,18,ACRU,suppressed,alive,16.3,12.1,238,21,2129
LF2,19,ACRU,suppressed,alive,23.2,11.6,264,21,2116
LF2,20,QURU,dominant,alive,49.4,12.2,260,21,2117
LF2,21,QURU,intermediate,alive,36.1,11.7,268,21,2114
LF2,22,ACRU,intermediate,alive,21.2,4.6,316,11,1841
LF2,23,FAGR,suppressed,alive,13.4,4.2,0,11,1859
LF2,24,ACRU,suppressed,alive,15.2,7.5,350,11,1852
LF2,25,QURU,codominant,alive,58.5,8.6,350,11,1847
LF2,26,QURU,codominant,alive,50.9,8.4,332,11,1840
LF2,27,ACRU,suppressed,dead,16.1,8.3,322,11,1863
LF2,28,ACRU,intermediate,alive,22.2,11.8,300,11,1812
LF2,29,QURU,suppressed,alive,58.1,12.7,304,11,1810
LF2,30,ACRU,intermediate,alive,20,12.2,10,11,1560
LF2,31,ACRU,suppressed,alive,10.8,12.8,242,11,1837
LF3,1,QURU,codominant,alive,37.9,10,356,51,4169
LF3,2,QURU,intermediate,alive,19.8,11.2,16,51,997
LF3,3,FAGR,suppressed,alive,20.3,7.4,22,51,1006
LF3,4,QURU,codominant,alive,32.9,0.6,58,51,989
LF3,5,QURU,intermediate,alive,19,6.6,70,51,1016
LF3,6,QURU,dominant,alive,61,11.1,70,51,1052
LF3,7,HAVI,suppressed,alive,10.2,9.1,88,51,5619
LF3,8,QURU,intermediate,alive,24.5,12.4,40,51,1030
LF3,9,ACRU,dominant,alive,35.5,8.3,180,61,1208
LF3,10,FAGR,dominant,dead,46.3,9.7,156,61,1211
LF3,11,ACRU,intermediate,alive,35.7,11.2,124,61,1200
LF3,12,PIST,suppressed,alive,25.6,12.2,102,61,1198
LF3,13,ACRU,suppressed,alive,15.8,8.5,94,61,1202
LF3,14,QURU,codominant,alive,35.8,1.7,250,60,4800
LF3,15,BEAL,suppressed,alive,10.8,2.6,212,60,4801
LF3,16,ACRU,suppressed,dead,13.3,4.3,218,60,4797
LF3,17,ACRU,dominant,alive,50,10.9,186,60,4807
LF3,18,QURU,intermediate,dead,22.2,9.3,252,60,4793
LF3,19,QURU,dominant,alive,39.6,11.3,268,60,4758
LF3,20,BEAL,suppressed,alive,10.4,10.8,236,60,5652
LF3,21,QURU,dominant,alive,58.9,12.8,310,50,4114
LF3,22,QURU,intermediate,alive,24.8,10.7,298,50,4112
LF3,23,QURU,intermediate,alive,22.3,8.2,318,50,4141
LF3,24,ACRU,suppressed,alive,17.5,10,318,50,4132
LF3,25,ACRU,suppressed,alive,15.4,9.8,280,50,4124
LF3,26,QURU,suppressed,alive,18.8,12,272,50,4102
LF3,27,QURU,codominant,alive,36.1,12.2,358,50,4173
