species,a,b,region,eq,Origin_ref,ref
ACRU,0.091,2.508,WV,3,Brenneman1978,Ter-Miakelian
ACRU,0.1651,2.2394,RI,2,Bridge1979,Ter-Miakelian
ACRU,0.1262,2.3804,ME,1,Young1980,Ter-Miakelian
HAVI,0.03811,2.9,Can,1,,
ABBA,0.1746,2.1555,NB,2,Ker1984,
BEAL,0.1588,2.3376,ME,2,Young1980,
BEAL,0.154,2.3753,WV,3,Brenneman1978,Ter-Miakelian
BEAL,0.1684,2.415,NH,1,Whittaker1974,Ter-Miakelian
BELE,0.0629,2.6606,WV,2,Brenneman1978,Ter-Miakelian
FAGR,0.0842,2.5715,WV,3,Brenneman1978,Ter-Miakelian
FAGR,0.1957,2.3916,NH,1,Whittaker1974,Ter-Miakelian
FRAM,0.1063,2.4798,WV,3,Brenneman1978,Ter-Miakelian
FRAM,0.1634,2.348,GreatLakes,2,Perala1994,Ter-Miakelian
LITU,0.0365,2.7324,WV,3,Brenneman1978,Ter-Miakelian
LITU,0.0687,2.5153,WV,2,Wiant1977,Ter-Miakelian
PCRU,0.2066,2.183,NH,2,Whittaker1974,
PIST,0.0696,2.449,ME,1,Young1980,
PIST,0.0696,2.449,GreatLakes,3,Perala1994,
PRSE,0.0716,2.6174,WV,2,Brenneman1978,Ter-Miakelian
QUAL,0.0579,2.6887,WV,3,Brenneman1978,Ter-Miakelian
QUAL,0.0293,2.8661,RI,2,Bridge1979,Ter-Miakelian
QUAL,0.2022,2.1666,NY,2,Whittaker1968,Ter-Miakelian
QUAL,0.0472,2.701,WV,4,Wiant1977,Ter-Miakelian
QUMO,0.0554,2.7276,WV,2,Brenneman1978,Ter-Miakelian
QUMO,0.0907,2.5344,WV,2,Wiant1977,Ter-Miakelian
QURU,0.113,2.4572,WV,1,Brenneman1978,Ter-Miakelian
QURU,0.1335,2.422,GreatLakes,2,Perala1994,Ter-Miakelian
QURU,0.0643,2.6598,WV,3,Wiant1977,Ter-Miakelian
THOC,0.2305,1.9269,ME,1,Young1980,
TSCA,0.0622,2.45,WV,2,Brenneman1978,Ter-Miakelian
TSCA,0.0991,2.3617,ME,1,Young1980,Ter-Miakelian
