Site,Tree Number,species,Status,DBH
1301,1,ACSA,L,16.3
1301,2,ACSA,L,51.5
1301,3,ACSA,L,17.5
1301,4,ACSA,L,17.7
1301,5,ACSA,L,21.3
1301,6,ACSA,L,12.2
1301,7,unk,D,19
1301,8,ACSA,L,20.1
1301,9,ACSA,L,9.3
1301,10,ACSA,L,23.8
1301,11,ACSA,L,26.3
1301,12,ACSA,L,6.7
1301,13,ACSA,L,35.8
1301,14,FAGR,L,36.5
1302,1,FAGR,L,25.5
1302,2,FAGR,L,12.8
1302,3,FAGR,L,11.8
1302,4,unk,D,14.5
1302,5,unk,D,28.2
1302,6,FAGR,L,6.1
1302,7,FAGR,L,14.1
1302,8,unk,D,17.5
1302,9,QUPR,L,34
1302,10,FAGR,L,9.5
1302,11,unk,D,22.9
1302,12,unk,D,15.6
1302,13,unk,D,8.5
1302,14,FAGR,L,5.7
1302,15,unk,D,16.5
1302,16,ACSA,L,31
1302,17,FAGR,L,8.4
1302,18,FAGR,L,6.7
1302,19,FAGR,L,11.9
1302,20,unk,D,26
1302,21,unk,D,22
1302,22,FAGR,L,8.7
1302,23,FAGR,L,7.7
1302,24,FAGR,L,17.4
1302,25,FAGR,L,25.3
1302,26,FAGR,L,27.1
1302,27,FAGR,L,11.6
1302,28,unk,D,15.5
1302,29,QURU,L,77
1302,30,QURU,L,40.5
1302,31,FAGR,L,24.3
1302,32,FAGR,L,5.9
1303,1,TIAM,L,9.3
1303,2,TIAM,L,19.4
1303,3,TIAM,L,38.7
1303,4,TIAM,L,29.1
1303,5,FAGR,L,7.8
1303,6,FAGR,L,15.3
1303,7,FAGR,L,11.5
1303,8,MAAC,L,24.4
1303,9,ACSA,L,7.4
1303,10,CACO,L,28.5
1303,11,LITU,L,25.6
1303,12,CACO,L,18.3
1303,13,CACO,D,14
1303,14,ACSA,L,19.6
1303,15,FAGR,L,25.2
1303,16,ACSA,L,7.5
1303,17,ACSA,L,9.8
1303,18,ACRU,L,17.6
1303,19,TIAM,L,64.1
1304,1,ACSA,L,20.9
1304,2,ACSA,L,6
1304,3,FAGR,L,7
1304,4,ACSA,L,17.4
1304,5,MAFR,L,8.1
1304,6,ACSA,L,7.3
1304,7,unk,D,15.8
1304,8,ACSA,L,6.2
1304,9,ACSA,L,8.4
1304,10,QUCO,L,71.9
1304,11,FAGR,L,5.2
1304,12,ACSA,L,13.2
1304,13,unk,D,17.8
1304,14,ACSA,L,12.7
1304,15,QURU,L,46
1304,16,QURU,L,33.7
1304,17,ACSA,L,8.4
1304,18,ACSA,L,19.7
1304,19,QURU,L,31.2
1304,20,NYSA,L,35.4
1304,21,MAFR,L,24.8
1304,22,QURU,L,48.7
1304,23,MAFR,L,39.5
1304,24,ACSA,L,7.5
1304,25,ACSA,L,12.1
1304,26,ACSA,L,15.1
1304,27,ACSA,L,20.1
1305,1,ACSA,L,21.3
1305,2,MAAC,L,47.1
1305,3,ACSA,L,5.5
1305,4,ACSA,L,7.3
1305,5,ACSA,L,11.5
1305,6,QURU,L,26.7
1305,7,FAGR,L,21
1305,8,FAGR,L,38.5
1305,9,ACSA,L,7.4
1305,10,ACSA,D,5.7
1305,11,ACSA,L,25.1
1305,12,ACSA,L,11
1305,13,ACSA,L,5.3
1305,14,unk,D,27.1
1305,15,ACSA,L,7.2
1305,16,ACSA,L,7.3
1305,17,ACSA,L,5.5
1305,18,ACSA,L,22.6
1306,1,unk,D,19.6
1306,2,QUAL,L,38
1306,3,ACSA,L,5.8
1306,4,unk,D,19.5
1306,5,ACSA,L,30.2
1306,6,ACSA,L,30.5
1306,7,ACSA,L,11
1306,8,unk,D,25
1306,9,unk,D,28.8
1306,10,QURU,L,56.2
1306,11,QURU,L,88.5
1306,12,ACSA,L,34.2
1306,13,ACSA,L,7.4
1306,14,QURU,L,47.5
1306,15,FAGR,L,29.6
1306,16,QURU,L,54
1306,17,QURU,L,14.2
1306,18,ACSA,L,5.5
1306,19,QURU,L,37.1
1306,20,QURU,D,23.1
1306,21,QURU,L,7.9
