Site,Tree Number,core orientation,species,DBH,Distance,Azimuth,Canopy,Status
HOW1,1,,PCRU,23,3.4,263,I,Li
HOW1,2,,PCRU,13.2,3.5,286,I,Sn
HOW1,4,,PCRU,16,5.45,275,I,Li
HOW1,5,,TSCA,17.8,6.75,295,I,Li
HOW1,6,,PCRU,27.5,6.73,260,C,Li
HOW1,7,,ACRU,27,7.34,276,C,Li
HOW1,8,,TSCA,15.2,8.24,284,S,Li
HOW1,9,,PCRU,21.3,9.45,297,C,Li
HOW1,10,,PCRU,13.5,11.5,294,I,Li
HOW1,11,,TSCA,42.5,12.8,287,D,Li
HOW1,12,,TSCA,27.8,16.1,278,D,Li
HOW1,13,,PCRU,29,19.5,293,C,Li
HOW1,14,,TSCA,25.5,19.6,281,C,Li
HOW1,20,,PCRU,20.5,5.5,298,C,Li
HOW1,21,,PCRU,28.7,7.3,333,C,Li
HOW1,22,,PCRU,17.1,9.7,334,S,Sn
HOW1,23,,PCRU,29.5,11.1,345,C,Li
HOW1,24,,TSCA,18.4,11.2,327,I,Li
HOW1,25,,PCRU,20.7,12.6,320,C,Li
HOW1,26,,PCRU,22.3,17.4,332,C,Li
HOW1,27,,PCRU,28.1,18.2,334,C,Li
HOW1,28,,PCRU,20.5,16.5,347,C,Li
HOW1,31,,PCRU,11.6,10.9,320,C,Li
HOW1,32,,PCRU,10.1,11.2,330,I,Li
HOW1,33,,PCRU,23.2,3.6,180,C,Li
HOW1,34,,PCRU,15.7,5,207,I,Li
HOW1,35,,PCRU,25.5,3.7,248,C,Li
HOW1,36,,PCRU,26.9,7.2,203,I,Li
HOW1,37,,TSCA,33.7,7.2,202,I,Li
HOW1,38,,PCRU,19.4,7.1,177,C,Li
HOW1,39,,PCRU,33,10.9,176,C,Li
HOW1,40,,THOC,15.6,11.2,181,I,Li
HOW1,41,,THOC,12.4,11.3,178,S,Li
HOW1,42,,ACRU,12.1,11.5,174,S,Li
HOW1,43,,PCRU,23.5,14.4,160,C,Li
HOW1,44,,PCRU,20,17.3,154,C,Li
HOW1,45,,PCRU,20.9,16.7,160,C,Li
HOW1,46,,PCRU,23,17.4,163,C,Li
HOW1,47,,PCRU,20.1,16.5,182,C,Li
HOW1,48,,PCRU,24.8,11.8,186,C,Li
HOW1,49,,PCRU,37.4,12.9,192,C,Li
HOW1,50,,THOC,19.1,12.8,194,S,Sn
HOW1,51,,THOC,22.7,14.5,195,I,Li
HOW1,52,,THOC,22.7,15.3,187,C,Li
HOW1,53,,THOC,23.4,17.2,189,C,Li
HOW1,54,,PCRU,22.6,18.5,189,C,Li
HOW1,55,,PCRU,25.8,17.4,190,C,Li
HOW1,61,,PCRU,24.8,16.1,226,D,Li
HOW1,62,,TSCA,24.5,15.9,224,I,Li
HOW1,63,,TSCA,28.5,13,220,S,Sn
HOW1,64,,PCRU,23.1,12.3,218,C,Li
HOW1,65,,THOC,28.2,14.5,209,I,Li
HOW1,66,,PCRU,26.4,9.4,210,C,Li
HOW1,67,,PCRU,14.8,9.1,221,I,Li
HOW1,68,,PCRU,19.1,9.9,243,C,Li
HOW1,69,,TSCA,25.8,13.3,251,C,Li
HOW1,70,,PCRU,19.5,12.6,240,D,Li
HOW1,71,,PCRU,29.4,18.1,252,C,Li
HOW1,75,,PCRU,13.3,3.9,156,I,Li
HOW1,76,,TSCA,14.3,5.2,126,S,Li
HOW1,77,,PIST,43.3,7.1,135,D,Li
HOW1,78,,PIST,35.9,7.5,115,D,Li
HOW1,79,,PCRU,15.5,7.2,105,C,Li
HOW1,80,,PCRU,14.6,4.7,92,C,Li
HOW1,81,,PCRU,24.1,4.4,77,C,Li
