block,meas3yr,treeid,xsite,ysite,species,dbh69,can69,cond69,dbh75,can75,cond75,dbh91,can91,cond91,dbh01,can01,cond01,1969Orient,dbh11,can11,cond11,length11,angle11,decay,comments,soilmoist,hurrdam,10medge
SE11,1991,1,2,-194,PIST,45.72,NA,ST,NA,NA,ST,NA,NA,G,NA,NA,G,NA,NA,NA,G,NA,NA,NA,NA,dry,Low,0
SE11,1991,2,3.5,-190.5,BEAL,6.35,S,L,6.6,S,L,7.62,NA,SN,NA,NA,SN,NA,NA,NA,G,NA,NA,NA,1991: 9' AT 254 DEG.; 2001: BOLE D3; 4.5 ,dry,Low,0
SE11,1991,3,3.5,-197,BEPO,9.65,S,L,9.65,S,L,NA,NA,SN,NA,NA,G,NA,NA,NA,G,NA,NA,NA,1991:BOLE NOT OBVIOUS; STUMP GONE,dry,Low,0
SE11,1991,4,5,-175.5,PIST,25.4,NA,WC,NA,NA,WC,NA,NA,WC,NA,NA,WC,NW,NA,NA,WC,NA,NA,D3,WINDTHROWN: LOCATED AT CENTER OF MOUND; 1991: D2 TO D3; 2001: D3,dry,Low,0
SE11,1991,5,5.5,-165.5,ACRU,4.57,S,L,4.83,S,L,NA,NA,G,NA,NA,G,NA,NA,NA,G,NA,NA,NA,SHARES BASE WITH 13;131,dry,Severe,0
SE11,1991,6,5.5,-172,BELE,5.59,S,L,NA,NA,D,NA,NA,G,NA,NA,G,NA,NA,NA,G,NA,NA,NA,NA,dry,Low,0
SE11,1991,7,6,-189.5,ACRU,7.37,S,L,9.14,S,L,12.19,I,L,13.4,I,L,NA,15.4,S,L,NA,NA,NA,1991:SHARES BASE WITH SMALL SPROUT,dry,Low,0
SE11,1991,8,6.5,-165.5,ACRU,5.59,S,L,6.6,S,L,7.37,S,L,NA,NA,ST,NA,NA,NA,G,NA,NA,NA,SHARES BASE WITH 11;131; 1991: STUMP SPROUTS; 2001: CUT; BOLE SCATTERED,dry,Severe,0
SE11,1991,9,6.5,-172.5,BEAL,6.6,S,L,8.13,S,L,10.16,I,L,10.7,I,L,NA,10.9,S,L,NA,NA,NA,NA,dry,Low,0
SE11,1991,10,7.5,-162,BEPA,13.97,D,L,15.75,D,L,17.02,CD,L,17,NA,SN,NA,NA,NA,SN,3,40,D3,2001: SNAP AT 1M; BOLE SCATTERED; 2011: COND91 CHANGED FROM M TO L,dry,Severe,0
SE11,1991,11,8,-159,BELE,7.11,S,L,9.14,S,L,13.72,I,L,17.3,I,L,NA,19.9,CD,L,NA,NA,NA,1991:SHARES BASE W/17;117,dry,Severe,0
SE11,1991,12,8.5,-158.5,BELE,11.18,I,L,14.73,I,L,19.56,CD,L,22.9,CD,L,NA,26.1,CD,L,NA,NA,NA,1991:SHARES BASE W/ 16;118,dry,Severe,0
SE11,1991,13,9,-151.5,ACRU,6.35,CD,L,8.89,CD,L,12.19,I,L,11.8,I,L,NA,12.2,S,L,NA,NA,NA,SHARES BASE WITH 19;102 & 19;104,dry,Severe,0
SE11,1991,14,9.5,-151,ACRU,6.86,CD,L,7.11,CD,L,12.19,CD,L,14.4,CD,L,NA,16.5,CD,L,NA,NA,NA,SHARES BASE WITH 18;103 & 19;104; 1991: large open wound at 9',dry,Severe,0
SE11,1991,15,9.5,-152,ACRU,8.38,CD,L,11.18,CD,L,17.27,CD,L,19.8,CD,L,NA,23.3,CD,L,NA,NA,NA,SHARES BASE WITH 18;103 & 19;102,dry,Severe,0
SE11,1991,16,9.5,-177.5,BELE,6.1,S,L,6.35,S,L,13.21,I,L,16.9,I,L,NA,18.9,I,L,NA,NA,NA,1991: LEANING SW,dry,Low,0
SE11,1991,17,11,-149,BELE,7.11,S,L,NA,NA,D,NA,NA,G,NA,NA,G,NA,NA,NA,G,NA,NA,NA,NA,dry,Severe,0
SE11,1991,18,11,-155.5,BEPO,10.16,I,L,11.43,I,L,12.45,NA,SN,NA,NA,SN,NA,NA,NA,SN,NA,NA,D3,1991: SNAP AT DBH; 2 PARTS: 13' AT 182 DEG & 10' AT 220 DEG; 2001: BOLE IN 2 PARTS; 4.4' AT 138 DEG; 13.4' AT 174 DEG; SNAP AT BASE; D3; 2011: BOLE BURIED,dry,Severe,0
SE11,1991,19,13,-128.5,ACRU,10.92,CD,L,13.97,CD,L,20.83,CD,L,23.3,CD,L,NA,25.5,I,L,NA,NA,NA,1991: SHARES BASE W/ 26; 59; OPEN WOUND AT DBH,dry,Severe,1
