year,site,NPP,tile_h,tile_v,pixelA,pixelB,pixelC,pixelD,,,type
2000,Howland,7.95,13,4,7.4,7.7,8.5,8.2,,,MODIS
2001,Howland,7,13,4,6.6,6.7,7.4,7.3,,,MODIS
2002,Howland,6.95,13,4,7.1,6.9,6.8,7,,,MODIS
2003,Howland,6.725,13,4,6.7,6.6,6.9,6.7,,,MODIS
2004,Howland,7.35,13,4,7.6,7.4,7.6,6.8,,,MODIS
2005,Howland,6.9,13,4,6.9,6.5,7.1,7.1,,,MODIS
2006,Howland,8.4,13,4,8.2,8.6,8.3,8.5,,,MODIS
2007,Howland,7.6,13,4,7.8,7.5,7.6,7.5,,,MODIS
2008,Howland,8,13,4,8,8.1,8.2,7.7,,,MODIS
2009,Howland,7.85,13,4,7.7,7.9,7.9,7.9,,,MODIS
2010,Howland,7.5,13,4,7.5,7.9,7.2,7.4,,,MODIS
2000,Harvard,8.708333333,,,8.67,8.53,9.23,8.73,8.44,8.65,MODIS
2001,Harvard,8.376666667,,,8.25,8.4,8.56,8.26,8.43,8.36,MODIS
2002,Harvard,7.996666667,,,7.98,8.02,7.95,7.93,7.94,8.16,MODIS
2003,Harvard,7.566666667,,,7.44,7.44,8.05,7.42,7.51,7.54,MODIS
2004,Harvard,9.158333333,,,9.26,9.12,9.52,8.99,8.94,9.12,MODIS
2005,Harvard,7.896666667,,,8.06,7.61,8.08,7.97,7.83,7.83,MODIS
2006,Harvard,8.548333333,,,8.37,8.39,9.14,8.49,8.41,8.49,MODIS
2007,Harvard,8.568333333,,,8.6,8.5,9.13,8.24,8.51,8.43,MODIS
2008,Harvard,8.708333333,,,8.56,8.59,9.11,8.93,8.56,8.5,MODIS
2009,Harvard,8.94,,,8.89,8.77,9.81,8.38,8.96,8.83,MODIS
2010,Harvard,8.096666667,,,8.02,7.95,8.24,8.15,8.13,8.09,MODIS
