Site,Tree Number,species,Canopy,Status,DBH,Distance,Azimuth,Tag,DistanceTop,AzimuthTop,Decay
TP1,1,BEAL,suppressed,Li,18,3.2,16,151467,NA,NA,NA
TP1,2,TSCA,suppressed,Li,13.9,3.3,24,151464,NA,NA,NA
TP1,3,ACRU,intermediate,Li,14,9.5,42,151461,NA,NA,NA
TP1,4,TSCA,suppressed,Li,27.9,8.3,64,161752,NA,NA,NA
TP1,5,TSCA,suppressed,Li,17.4,11.7,54,161754,NA,NA,NA
TP1,6,BEAL,intermediate,Li,12.4,7.6,74,161751,NA,NA,NA
TP1,7,BEAL,intermediate,Li,10.2,11.4,76,161769,NA,NA,NA
TP1,8,ACRU,dominant,Li,20,11.4,80,161768,NA,NA,NA
TP1,9,TSCA,suppressed,Li,13.2,11.6,80,161767,NA,NA,NA
TP1,10,TSCA,suppressed,Lo,13.4,3.9,160,151488,3.8,64,3
TP1,11,FAGR,suppressed,Li,14.3,7.2,102,161734,NA,NA,NA
TP1,12,QURU,dominant,Li,33.9,12.9,108,161738,NA,NA,NA
TP1,13,TSCA,suppressed,Li,24.3,12.4,112,161737,NA,NA,NA
TP1,14,QURU,dominant,Sn,31.7,8.5,154,161729,NA,NA,1
TP1,15,ACRU,intermediate,Li,17.3,9.7,154,161727,NA,NA,NA
TP1,16,TSCA,suppressed,Li,16.8,9.9,136,161731,NA,NA,NA
TP1,17,QURU,dominant,Li,40.6,12,154,161749,NA,NA,NA
TP1,18,TSCA,suppressed,Li,23.2,12,160,161750,NA,NA,NA
TP1,19,TSCA,suppressed,Li,16.4,9.6,164,151490,NA,NA,NA
TP1,20,BEAL,intermediate,Li,12.3,9.5,188,151492,NA,NA,NA
TP1,21,QURU,intermediate,dead,21.3,11.9,186,151386,NA,NA,NA
TP1,22,QURU,dominant,Li,36.5,5,204,151471,NA,NA,NA
TP1,23,QURU,dominant,Sn,23.4,8.7,196,151496,NA,NA,3
TP1,24,BEAL,intermediate,Li,37.9,5.2,260,151427,NA,NA,NA
TP1,25,QURU,dominant,Li,37.7,10.7,214,151433,NA,NA,NA
TP1,26,TSCA,suppressed,Li,10.6,10.9,190,151380,NA,NA,NA
TP1,27,TSCA,suppressed,Li,18.4,12.4,204,151379,NA,NA,NA
