species,a,b,region,site,form,original reference,reference,dbh (cm),n
ACRU,0.091,2.508,WV,FER,1,Brenneman 1978,Ter-Mikaelian and Korzukhin 1997,5-50 cm,27
ACRU,0.1262,2.3804,ME,"HOW,LYF",1,Young 1980,Ter-Mikaelian and Korzukhin 1997,3-66 cm,62
ACSA,0.1008,2.5735,WV,FER,1,Brenneman 1978,Ter-Mikaelian and Korzukhin 1997,5-50 cm,119
ACSP,0.204,0.2524,NH,FER,1,Whittaker 1974,Ter-Mikaelian and Korzukhin 1997,1-20 cm,15
ABBA,0.0877,2.4017,ME,HOW,1,Young 1980,Ter-Mikaelian and Korzukhin 1997,3-51 cm,95
ASTR,-2.5497,2.501,so. Apps,FER,2,Chojnacky 2013,Chojnacky 2013,3-65 cm,15
BEAL,0.1588,2.3376,ME,HOW,1,Young 1980,Ter-Mikaelian and Korzukhin 1997,3-66 cm,42
BEAL,0.1684,2.415,NH,LYF,1,Whittaker 1974,Ter-Mikaelian and Korzukhin 1997,1-55 cm,14
BEPA,0.0612,2.6634,ME,HOW,1,Young 1980,Ter-Mikaelian and Korzukhin 1997,3-51 cm,51
BELE,0.0629,2.6606,WV,FER,1,Brenneman 1978,Ter-Mikaelian and Korzukhin 1997,5-50 cm,8
Carya spp.,0.0792,2.6349,WV,FER,1,Brenneman 1978,Ter-Mikaelian and Korzukhin 1997,5-50 cm,14
FAGR,0.0842,2.5715,WV,FER,1,Brenneman 1978,Ter-Mikaelian and Korzukhin 1997,5-50 cm,56
FAGR,0.1957,2.3916,NH,LYF,1,Whittaker 1974,Ter-Mikaelian and Korzukhin 1997,1-60 cm,14
FRAM,0.1063,2.4798,WV,FER,1,Brenneman 1978,Ter-Mikaelian and Korzukhin 1997,5-50 cm,15
HAVI,0.03811,2.9,Can,LYF,1,Smith and Brand 1984,Telfer 1969,0-4 cm,21
JUCI,-2.5095,2.6175,so. Apps,FER,2,Chojnacky 2013,Chojnacky 2013,3-70 cm,13
LITU,0.0365,2.7324,WV,FER,1,Brenneman 1978,Ter-Mikaelian and Korzukhin 1997,5-50 cm,12
MAAC,-2.5497,2.501,so. Apps,FER,2,Chojnacky 2013,Chojnacky 2013,3-65 cm,15
MAFR,-2.5497,2.501,so. Apps,FER,2,Chojnacky 2013,Chojnacky 2013,3-65 cm,15
NYSA,-2.2118,2.4133,so. Apps,FER,2,Chojnacky 2013,Chojnacky 2013,3-64 cm,46
OSVI,-1.8096,2.348,so. Apps,FER,2,Chojnacky 2013,Chojnacky 2013,3-70 cm,16
OXAR,-2.2118,2.4133,so. Apps,FER,2,Chojnacky 2013,Chojnacky 2013,3-64 cm,46
PCRU,0.2066,2.183,NH,HOW,1,Whittaker 1974,Ter-Mikaelian and Korzukhin 1997,1-35 cm,15
PIST,0.0696,2.449,ME,"HOW,LYF",1,Young 1980,Ter-Mikaelian and Korzukhin 1997,3-66 cm,35
PRSE,0.0716,2.6174,WV,FER,1,Brenneman 1978,Ter-Mikaelian and Korzukhin 1997,5-50 cm,26
PRPE,0.1556,2.1948,ME,FER,1,Young 1980,Ter-Mikaelian and Korzukhin 1997,3-24 cm,30
QUAL,0.0579,2.6887,WV,FER,1,Brenneman 1978,Ter-Mikaelian and Korzukhin 1997,5-50 cm,29
QUCO,0.1241,2.4395,WV,FER,1,Wiant 1977,Ter-Mikaelian and Korzukhin 1997,5-40 cm,19
QUMO,0.0554,2.7276,WV,FER,1,Brenneman 1978,Ter-Mikaelian and Korzukhin 1997,5-50 cm,13
QURU,0.113,2.4572,WV,"FER,LYF",1,Brenneman 1978,Ter-Mikaelian and Korzukhin 1997,5-50 cm,24
QUVE,0.0945,2.503,WV,FER,1,Wiant 1977,Ter-Mikaelian and Korzukhin 1997,5-40 cm,19
ROPS,-2.5095,2.5437,so. Apps,FER,2,Chojnacky 2013,Chojnacky 2013,4-42 cm,2
SAAL,-2.2118,2.4133,so. Apps,FER,2,Chojnacky 2013,Chojnacky 2013,3-64 cm,46
THOC,0.2305,1.9269,ME,HOW,1,Young 1980,Ter-Mikaelian and Korzukhin 1997,3-51 cm,39
TIAM,0.0617,2.5328,WV,FER,1,Brenneman 1978,Ter-Mikaelian and Korzukhin 1997,5-50 cm,13
TSCA,0.0622,2.45,WV,FER,1,Brenneman 1978,Ter-Mikaelian and Korzukhin 1997,5-50 cm,21
TSCA,0.0991,2.3617,ME,"HOW,LYF",1,Young 1980,Ter-Mikaelian and Korzukhin 1997,3-51 cm,36
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
